Common name,Species,Full taxonomy,Description
greater bird-of-paradise,paradisaea apoda,Animalia_Chordata_Aves_Passeriformes_Paradisaeidae_Paradisaea_Paradisaea apoda,"The Greater bird-of-paradise is the biggest member of the genus Paradisaea. These birds were named by Carolus Linnaeus as ""legless bird of paradise"" or Greater birds-of-paradise because natives prepared early trade-skins for Europe without feet, resulting in the misconception that these beautiful birds were visitors from paradise kept aloft by means of their plumes and only touched the earth when they died. The male has large yellow ornamental plumes on its flanks and two long tail wires, whereas the female has brown plumage. Their lifespan is unknown but generally birds-of-paradise live 5-8 years in the wild and up to 30 years in captivity"
blue monkey,cercopithecus mitis,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Cercopithecinae_Cercopithecini_Cercopithecus_Cercopithecus mitis,"Despite what the common name suggests, the Blue monkey is not blue. In fact, the species is so called due to the hairless face, which seems to be colored in blue. This Old world monkey is of great interest for scientists. The primate has a dark head top. The coloration of the body is mainly olive or grey. Additionally, the Blue monkey exhibits some black and white markings all over its body."
carpet python,morelia spilota,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Pythonidae_Morelia_Morelia spilota,"The Carpet python is a large snake named for beautiful markings on its skin, which resemble an oriental carpet pattern. Their coloring is highly variable, ranging from olive to black with white or cream and gold markings. The patterning may be roughly diamond-shaped or have intricate markings made up of light and dark bands on a background of gray or a version of brown. Males in this species are typically smaller than females and in some regions, females can even be up to four times heavier."
greek tortoise,testudo graeca,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Testudinoidea_Testudinidae_Testudo_Testudo graeca,"The Greek tortoise is one of the five species of tortoise from the Mediterranean. It can be a range of colors, including black, dark yellow, gold, and brown. This tortoise is named for the patterns on its shell, which have the different colored dots and the borders of a traditional Greek mosaic. A Greek tortoise has a domed carapace, a flat head with large eyes, big scales on its legs, and strong claws."
savannah sparrow,passerculus sandwichensis,Animalia_Chordata_Aves_Passeriformes_Passerellidae_Passerculus_Passerculus sandwichensis,"The Savannah sparrow is a small American sparrow. It has a typically sparrow-like dark-streaked brown back, and whitish underparts with brown or blackish breast and flank streaking. It has whitish crown and supercilium stripes, sometimes with some yellow (more often near the beak). The cheeks are brown and the throat white. The flight feathers are blackish-brown with a light brown or white border. The eyes are dark. The feet and legs are horn-colored, as is the lower part of the bill, with the upper part being dark grey."
snowy egret,egretta thula,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Egretta_Egretta thula,"The Snowy egret is a small but elegant white heron. Adults are entirely white in color apart from the yellow lores between the long black bill and the eye, black legs, and bright yellow feet. The nape and neck bear long, shaggy plumes known as aigrettes. Immature Snowy egrets have duller, greenish legs."
gray jay,perisoreus canadensis,Animalia_Chordata_Aves_Passeriformes_Corvidae_Perisoreus_Perisoreus canadensis,"The Gray jay is a fairly large songbird that lives in the boreal forests of North America. It has pale grey underparts, darker grey upperparts, and a grey-white head with a darker grey nape. These birds live year-round on permanent territories, surviving in cold winter months on food cached throughout their territory in warmer periods. They also adapt to human activity in their areas and approach humans for food, inspiring a list of colloquial names including ""lumberjack"", ""camp robber"", and ""venison-hawk""."
fiordland penguin,eudyptes pachyrhynchus,Animalia_Chordata_Aves_Sphenisciformes_Spheniscidae_Eudyptes_Eudyptes pachyrhynchus,"The Fiordland penguin is a medium-sized penguin with a wide, yellow band on its eyebrow, which starts at each nostril, stretching above the eyes down the neck, and forming a crest. The orange beak is relatively large, bordered with a thin line of black skin at its base. Meanwhile, beaks of males are noticeably larger than these of females. Their under parts are silky white while the upper parts are blue-grey/black, being darker on the head. By the time of their annual molt, the upper parts usually become brown. When the bird is nervous, 3-6 whitish streaks appear on its cheeks. The Fiordland penguin has brownish red eyes. The upper parts of feet and legs are pinkish-white, while the soles and back parts of the limbs are blackish-brown. Juveniles are identified by short, thin bands on their eyebrows, colored with pale yellow. In addition, the chin and throat of juveniles are whitish and speckled. After fledging, the chicks have bluish dorsal plumage, which wears out, eventually fading to black, and turning to mid-brown by their first molt."
african penguin,spheniscus demersus,Animalia_Chordata_Aves_Sphenisciformes_Spheniscidae_Spheniscus_Spheniscus demersus,"The African penguin is a small to medium-sized penguin with black-and-white plumage, serving the animal as a perfect camouflage to protect from predators. Due to the black feathers on their back, they merge with the environment, remaining unseen for those looking down from above. Meanwhile, the white coloration on the front part of their body allows them to be unspotted by aquatic predators, looking up from below. The penguins have a horseshoe-shaped, white colored stripe on their face, stretching from around their eyes to their chest as well on the chin, towards the bill. Young penguins possess gray-blue feathers, which darken as they grow up."
northern treeshrew,tupaia belangeri,Animalia_Chordata_Vertebrata_Mammalia_Scandentia_Tupaiidae_Tupaia_Tupaia belangeri,"The Northern treeshrew is a brown colored mammal with short, furless ears and a large, wet nose. By its appearance, the Northern treeshrew reminds “Scrat” from the movie Ice Age. This animal is very similar to long nosed squirrels as well as some of the earliest mammals. Its eyes are large, dark and lashless. The Northern treeshrews exhibit short and inconspicuous whiskers. Their long, bushy tail is curved upwards. These animals are excellent climbers due to the sharp nails and naked pads on their feet."
song sparrow,melospiza melodia,Animalia_Chordata_Aves_Passeriformes_Passerellidae_Melospiza_Melospiza melodia,"The Song sparrow is one of the most abundant, variable, and adaptable native sparrows in North America. Adult birds have brown upperparts with dark streaks on the back and are white underneath with dark streaking and a dark brown spot in the middle of the breast. They have a brown cap and a long brown rounded tail. Their face is gray with a brown streak through each eye."
pond slider,trachemys scripta,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Trachemys_Trachemys scripta,"The Pond slider is a medium-sized, semiaquatic turtle found in North America. Hatchlings and juveniles have a greenish upper shell (carapace), yellow bottom shell (plastron), and green and yellow stripes and markings on their skin. These patterns and colors in the skin and shell fade with age until the carapace is a muted olive green to orange-brown or brown and the plastron is a dull yellow or darker. Some sliders become almost black with few visible markings. The carapace is oval with a bit of rounding and a central crest with knobs, but these features soften and fade with age, adults being smoother and flatter. Males typically have much longer front claws than adult females, while females usually have shorter, more slender tails than males."
rhinoceros iguana,cyclura cornuta,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Iguanidae_Cyclura_Cyclura cornuta,"The Rhinoceros iguana is an endangered species of iguana that lives on the Caribbean island of Hispaniola, shared by Haiti and the Dominican Republic. The largest in their genus, these iguanas vary in length and skin colors that range from a steely grey to dark green and even brown. Their name derives from the bony-plated pseudo-horn or outgrowth which resembles the horn of a rhinoceros on the iguana's snout."
common leopard gecko,eublepharis macularius,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Eublepharidae_Eublepharis_Eublepharis macularius,"Common leopard geckos are ground-dwelling lizards. They are larger than many other gecko species. Those found in the wild typically have more dark, dull, and drab colorations than those kept in captivity as pets. Those in captivity generally have an assortment of skin colors and patterns. The skin of a Common leopard gecko is very durable, which provides protection from the rough sand and rocky hills terrain of their dry environment. Their dorsal side is covered with small bumps, which gives a rough texture and appearance while their ventral side is thin, transparent, and smooth. Like all reptiles, Common leopard geckos shed their skin. Adults shed an average of once a month, while juveniles will sometimes shed twice as much."
canadian lynx,lynx canadensis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Felidae_Lynx_Lynx canadensis,"The Canadian lynx is a cat of medium size with characteristic long ear tufts, a flared facial ruff, and a short, bobbed tail that has a completely black tip. Its paws are unusually large and in very deep snow act like snowshoes. Lynxes have thick fur and long legs, the hind legs being longer than the front legs, giving it a stooped appearance. Males are slightly bigger than females and there is not much geographic variation in size."
brown fur seal,arctocephalus pusillus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Pinnipedia_Otariidae_Arctocephalus_Arctocephalus pusillus,"The brown fur seal belongs to a large seal species from Australia and South Africa. Adult males are light grayish-brown with a dark brown belly, and a mane around the neck and shoulders that becomes a lighter color as they age. The female is browner, but still has a darker brown belly. The adult male's head is larger and wider than the female's, with a low brow, which the female does not have. Both males and females have a pointed snout, long whiskers, small ears, and forward-facing nostrils. They have large, thick flippers, which look black when wet. There are two subspecies of the brown fur seal: the Cape fur seal and the Australian fur seal. These subspecies are behaviorally and genetically very similar, but they occupy distinct ranges. One clear difference between them is the larger crest of the Cape fur seal."
red junglefowl,gallus gallus,Animalia_Chordata_Aves_Galliformes_Phasianidae_Gallus_Gallus gallus,"The Red junglefowl is a tropical bird found across much of Southeast Asia and parts of South Asia. It is the primary ancestor of the domestic chicken. Compared to the more familiar domestic chicken, the Red junglefowl has a much smaller body mass and is brighter in coloration. Junglefowl are also behaviourally different from domestic chickens; they are naturally very shy of humans compared to the much tamer domesticated subspecies. Male junglefowl are significantly larger than females and have brightly colored decorative feathers. The male's tail is composed of long, arching feathers that initially look black, but shimmer with blue, purple, and green in direct light. He also has long, golden hackle feathers on his neck and on his back. The female's plumage is typical of this family of birds in being cryptic and adapted for camouflage as she alone looks after the eggs and chicks. She also has a very small comb and wattles (fleshy ornaments on the head that signal good health to rivals and potential mates) compared to the males."
nanday parakeet,aratinga nenday,Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Aratinga_Aratinga nenday,"The Nanday parakeet is a medium-small, mostly green parrot native to South America. Its most distinguishing characteristic, for which it is named, is its black facial mask and beak. It also shows black, trailing flight feathers on its wings and has a long tail edged at the end in blue. The upper chest is bluish-green and the lower chest is a paler green. Feathers covering the thighs are red in color."
gila woodpecker,melanerpes uropygialis,Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_Melanerpes uropygialis,"The Gila woodpecker is a medium-sized woodpecker of the desert regions of the United States and Mexico. The back and wings of this bird are spotted and barred with a black and white zebra-like pattern. The neck, throat, belly, and head are greyish-tan in color. The male has a small red cap on the top of the head. Females and juveniles are similar, but both lack the red cap of the adult male. White wing patches are prominent in flight. The dark tail has white bars on the central tail feathers."
piping plover,charadrius melodus,Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_Charadrius melodus,"The Piping plover is a rare sand-colored shorebird that nests and feeds along coastal sand and gravel beaches in North America. The adult has yellow-orange-red legs, a black band across the forehead from eye to eye, and a black stripe running along the breast line. This chest band is usually thicker in males during the breeding season, and it is the only reliable way to tell the sexes apart. This small bird is difficult to see when it is standing still, as it blends well with open, sandy beach habitats. It typically runs in short spurts and stops."
secretarybird,sagittarius serpentarius,Animalia_Chordata_Aves_Accipitriformes_Sagittariidae_Sagittarius_Sagittarius serpentarius,"The secretarybird is a large, mostly terrestrial bird of prey endemic to Africa. It has an unmistakable appearance with an eagle-like body on crane-like legs that give the bird a height of as much as 1.3 m (4 ft 3 in). Adults have a featherless red-orange face and predominantly grey plumage, with a flattened dark crest and black flight feathers and thighs. The sexes look similar to one another although the male tends to have longer tail feathers, more head plumes, a shorter head, and more blue-grey plumage."
asiatic black bear,ursus thibetanus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Ursidae_Ursus_Ursus thibetanus,"The Asiatic black bear is a bear of medium to large size with a large rounded head and small eyes. It has large ears which are farther apart than those of an American black bear. Its body is heavy, and its legs are strong and thick with broad paws. It walks on the soles of its feet, as humans do. It has a short tail which can hardly be seen under its long, coarse coat. Its fur is black with a “V” shape of light beige to white on its chest, a small beige to white crescent on its throat, and a small white spot on its chin. Its muzzle is white."
brown tree snake,boiga irregularis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Boiga_Boiga irregularis,"The Brown tree snake is a venomous arboreal snake native to Australia, eastern Indonesia (Sulawesi to Papua), Papua New Guinea, and many islands in northwestern Melanesia. This snake is infamous for being an invasive species responsible for extirpating the majority of the native bird population in Guam. The Brown tree snake is a member of the colubrid snakes, which is a group of roughly twenty-five species that are referred to as ""cat-eyed"" snakes for their vertical pupils. The snake is long and slender, which allows it to pass through tiny spaces in buildings, logs, and other shaded locations, where it seeks refuge during daylight. The coloration ranges from a lightly patterned brown to yellowish/green or even beige with red, saddle-shaped blotches. They are rear-fanged, have a large head in relation to their body, and can survive for extended periods of time without food."
stump-tailed macaque,macaca arctoides,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Macaca_Macaca arctoides,"Stump-tailed macaques have long, thick, dark brown fur that covers their body, except for face and their short almost invisible tail. Infants are born white and darken as they mature. As they age, their bright pink or red faces darken to brown or nearly black and lose most of their hair. Males in this species are larger than females and their canine teeth, which are important for establishing dominance within social groups, are more elongated than those of the females. Stump-tailed macaques have cheek pouches and store food for short periods of time."
common shrew,sorex araneus,Animalia_Chordata_Vertebrata_Mammalia_Eulipotyphla_Soricidae_Sorex_Sorex araneus,"The Common shrews (otherwise known as Eurasian shrew) exhibit a 3-toned, beige colored coat, which is dark brown on their back and head and lighter orange-brown on their sides. These unique animals are distinguished by red-tipped teeth. The tail of these mammals is at least half the length of their body and extremely thick, even thicker than their limbs. The animal is also among the most frequently found mammals in Northern Europe and Great Britain but doesn't occur in Ireland."
little spotted kiwi,apteryx owenii,Animalia_Chordata_Aves_Apterygiformes_Apterygidae_Apteryx_Apteryx owenii,"The Little spotted kiwi is a small flightless bird native to New Zealand. Its feathers are pale-mottled grey, with fine white mottling, and are shaggy looking. The bird has large vibrissae feathers around the gape and lacks a tail; instead, it has a small pygostyle. The bill of the Little spotted kiwi is ivory and long and its legs are pale."
red-tailed cockatoo,calyptorhynchus banksii,Animalia_Chordata_Aves_Psittaciformes_Cacatuidae_Calyptorhynchus_Calyptorhynchus banksii,"The Red-tailed black-cockatoo has a crest which forms a helmet when the bird raises it and pushes it forward. Adult males have a characteristic pair of bright red panels on the tail that gives the species its name. The female has duller plumage with yellow spots on her head, wings and neck. Her underbody has bars of pale orange-yellow with orange-yellow panels on the tail, barred black."
north american river otter,lontra canadensis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mustelidae_Lutrinae_Lontra_Lontra canadensis,"North American river otters are the only river otter that is found north of Mexico. This animal’s lovely waterproof pelt, which allows it to regulate its temperature, in the 1700s-1800s, a regular part of French fur trade, has meant this animal has been hunted for hundreds of years. Its fur ranges in color from white and gray to brown and black."
wood turtle,glyptemys insculpta,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Glyptemys_Glyptemys insculpta,"The Wood turtle is a medium-sized, semi-aquatic turtle native to North America. They have a rough carapace that is a tan, grayish-brown or brown color, with a central ridge (called a keel) made up of a pyramidal pattern of ridges and grooves. Their plastron (ventral shell) is yellowish in color and has dark patches. Although sometimes speckled with yellowish spots, the upper surface of their head is often a dark gray to solid black. The ventral surfaces of the neck, chin, and legs are orange to red with faint yellow stripes along the lower jaw of some individuals."
common chaffinch,fringilla coelebs,Animalia_Chordata_Aves_Passeriformes_Fringillidae_Fringilla coelebs,"The Common chaffinch is a widespread small songbird found in much of Europe, Asia, and northwestern Africa. The male is brightly colored with a blue-grey cap and rust-red underparts. The female is much duller in coloring, but both sexes have two contrasting white wing bars and white sides to the tail. The juvenile resembles the female."
philippine crocodile,crocodylus mindorensis,Animalia_Chordata_Vertebrata_Reptilia_Crocodilia_Crocodylidae_Crocodylinae_Crocodylus_Crocodylus mindorensis,"Philippine crocodiles are amongst the most endangered of the freshwater crocodiles. Small, with relatively broad snouts, on their backs they have thick bony plates. They have between 66 and 68 teeth which regularly fall out, to be replaced by new ones. Their golden brown color darkens as they grow. The females are a little smaller than males. This critically endangered species was once common throughout the Philippines but today lives on only a few islands."
philippine tarsier,carlito syrichta,Animalia_Chordata_Vertebrata_Mammalia_Primates_Tarsiidae_Carlito_Carlito syrichta,"Known as the “world’s smallest monkey” because of its similarity in appearance to that primate, tarsiers, along with lemurs, tree shrews and lorises, actually are members of a more primitive suborder of Prosimii or prosimian. They are amongst the oldest land species that have existed continuously in the Philippines, dating from the early Eocene period, 45 million years ago. The Philippine tarsier has various distinctive habits and characteristics that make it an object of both popular curiosity and scientific research. Its eyes are unique and are almost twice as big as those of humans, however, they cannot see from the corners. Its head can rotate as much as 180 degrees, so it is able to leap backward with great precision. In addition, enabled by adhesive discs on the soles of its limbs, tarsiers cling to branches either horizontally or vertically."
sharpe's grysbok,raphicerus sharpei,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Antilopinae_Raphicerus_Raphicerus sharpei,"Sharpe's grysboks are small, shy antelopes. They have a reddish-brown coat which is streaked with white; eye-rings, around mouth, throat, and underside are off-white in color. The males have stubby horns, which are widely spaced. Sharpe's grysboks have a short deep muzzle with a large mouth and heavy molar (grinding) teeth."
diamondback terrapin,malaclemys terrapin,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Deirochelyinae_Malaclemys_Malaclemys terrapin,"The Diamondback terrapin is a species of turtle native to the eastern and southern United States and in Bermuda. The common name of these turtles refers to the diamond pattern on top of their shell (carapace), but the overall pattern and coloration vary greatly. The shell is usually wider at the back than in the front, and from above it appears wedge-shaped. The shell coloring can vary from brown to grey, and their body color can be grey, brown, yellow, or white. All have a unique pattern of wiggly, black markings or spots on their body and head. Diamondback terrapins have large webbed feet are very strong swimmers."
jackson's chameleon,trioceros jacksonii,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Iguania_Chamaeleonidae_Trioceros_Trioceros jacksonii,"Jackson's chameleon is a species of chameleons that are native to East Africa. It was described by Belgian-British zoologist George Albert Boulenger in 1896. Later, this small chameleon was introduced to Hawai. Jackson's chameleons are sometimes called Three-horned chameleons because males possess three brown horns: one on the nose (the rostral horn) and one above each superior orbital ridge above the eyes (preocular horns). The females generally have no horns, or instead, have traces of the rostral horn. Jackson's chameleons are usually bright green in color, with some individual animals having traces of blue and yellow, but like all chameleons, they change color quickly depending on the mood, health, and temperature. They also have a saw-tooth shaped dorsal ridge and no gular crest."
abert's squirrel,sciurus aberti,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Sciurus_Otosciurus_Sciurus aberti,"These unusual animals usually inhabit areas, dominated by Ponderosa pine trees that provide them with required nutrients. Abert's squirrels are identified by their long tufted ears, due to which the animals are sometimes called 'tassel-eared squirrels'. These mammals exhibit the ear tufts during most of the year. Mature individuals lose these tufts between July and September. Abert's squirrels have no fear of heights. When foraging, these animals are frequently observed moving between branches high in trees."
african forest elephant,loxodonta cyclotis,Animalia_Chordata_Vertebrata_Mammalia_Proboscidea_Elephantidae_Loxodonta_Loxodonta cyclotis,"African forest elephant closely resembles African bush elephant. In fact, until recently, these two species were considered to be the same. However, they have a number of differences: thus, they differ in the size and shape of the skull and skeleton; African forest elephant is noticeably smaller than African bush elephant; its ears are more oval-shaped; the tusk of this species is straighter and point downward, unlike the that of African bush elephant, which is curved outwards; this animal possesses 5 toenails on each of its front limbs and 4 toenails on each hind limb, whereas African bush elephant exhibits 4 toenails on each front limb and 3 - on each hind limb."
freshwater crocodile,crocodylus johnsoni,Animalia_Chordata_Vertebrata_Reptilia_Crocodilia_Crocodylidae_Crocodylinae_Crocodylus_Crocodylus johnsoni,"The Australian freshwater crocodile is easily identified due to its unusual snout, which is tapered and narrow, reminding that of the gavial. The species is closely related to the Australian saltwater crocodile, being the latter's small cousin. This reptile possesses eyelid or a nictitating membrane, which protects the eyes of the animal under the water. The tail is powerful, legs are solid, and the feet are clawed and webbed. On both sides of the bottom jaw the animals display large, prominent fourth teeth. When the crocodiles close their mouths, these teeth fit into a notch on their upper jaw, remaining visible. The skin of the reptile exhibits brown with dark stripes along the body as well as on the tail and snout of the animal. The crocodile has large scales on its body, which have a form of wide plates on the back, bony plates on the belly, and pebbly scales on the flanks and outside of the animal's legs."
amazon river dolphin,inia geoffrensis,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Cetacea_Iniidae_Inia_Inia geoffrensis,"The Amazon River dolphin, or, otherwise called Boto dolphin is one of the five river dolphins and is the most famous species of the group. The body of this mammal is long and plump, whereas the fins remind paddles by their shape. In addition, the animal can be easily identified by having a ridge on its back instead of a dorsal fin. The Amazon River dolphin also stands out from other dolphin species due to its coloration, ranging from bluish grey to white, and, sometimes, pink. Some vertebrae of the dolphin are unfused, making the neck of the animal amazingly flexible, which allows the dolphin to move its head in almost all directions. The animals have been treated with suspicion by local people. Moreover, the Amazon River dolphin is a subject of numerous myths and tales. According to one of the stories, these animals become handsome men in order to seduce young women, coming to the water."
pink pigeon,nesoenas mayeri,Animalia_Chordata_Aves_Columbiformes_Columbidae_Nesoenas_Nesoenas mayeri,"The Pink pigeon is a rare species of pigeon endemic to Mauritius that nearly became extinct in the 1990s. It was on the brink of extinction in 1991 when only 10 individuals remained, but its numbers have increased due to the efforts of the Durrell Wildlife Conservation Trust since 1977."
western pygmy possum,cercartetus concinnus,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Diprotodontia_Burramyidae_Cercartetus_Cercartetus concinnus,"The Western pygmy possum is a small marsupial. It has fawn or cinnamon colored fur above with white below, distinctly different from its near relatives. These possums are distinguished by their whiskered, short, pointed snout, thin rounded ears and very large eyes, well adapted for night vision. They have a naked, finely-scaled prehensile tail which aids movement through the foliage."
red spitting cobra,naja pallida,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Elapidae_Naja_Naja pallida,"The Red spitting cobra is a medium-sized species of spitting cobra native to Africa. This attractive snake is usually bright salmon-red in color contrasted with a broad black throat band and subocular teardrop markings. However, the color of Red spitting snakes usually varies depending on where in Africa they are found. For example, individuals from southern Kenya and northern Tanzania have an orange-red color, with a broad, dark blue, or black throat band. Some specimens may have two or three throat bands, but this is uncommon for specimens from East Africa. The ventral side is also reddish in color, sometimes the throat area may be a creamy white. Red spitting cobras from other areas can be yellow, pinkish, pink-grey, pale red, or steel grey. Most specimens will have a throat band, but it will fade or even sometimes disappear in larger adults. The true red specimens will become reddish-brown in color as they age and grow in size."
long-tailed macaque,macaca fascicularis,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Macaca_Macaca fascicularis,"The unique Long-tailed macaque exhibits an extremely long tail, which is longer than its height from the head to rump. This primate has a pinkish-brown face and white spaces on its eyelids, near the nose. Another conspicuous characteristic of this species is the crest on the head top, formed by the hairs on the head, sweeping back over the forehead. Male Long-tailed macaques are distinguished by mustaches as well as cheek whiskers around their faces. Females, on the other hand, have beards and cheek whiskers."
