Common name,Species,Full taxonomy,Description
brown fur seal,arctocephalus pusillus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Pinnipedia_Otariidae_Arctocephalus_Arctocephalus pusillus,"The brown fur seal belongs to a large seal species from Australia and South Africa. Adult males are light grayish-brown with a dark brown belly, and a mane around the neck and shoulders that becomes a lighter color as they age. The female is browner, but still has a darker brown belly. The adult male's head is larger and wider than the female's, with a low brow, which the female does not have. Both males and females have a pointed snout, long whiskers, small ears, and forward-facing nostrils. They have large, thick flippers, which look black when wet. There are two subspecies of the brown fur seal: the Cape fur seal and the Australian fur seal. These subspecies are behaviorally and genetically very similar, but they occupy distinct ranges. One clear difference between them is the larger crest of the Cape fur seal."
red junglefowl,gallus gallus,Animalia_Chordata_Aves_Galliformes_Phasianidae_Gallus_Gallus gallus,"The Red junglefowl is a tropical bird found across much of Southeast Asia and parts of South Asia. It is the primary ancestor of the domestic chicken. Compared to the more familiar domestic chicken, the Red junglefowl has a much smaller body mass and is brighter in coloration. Junglefowl are also behaviourally different from domestic chickens; they are naturally very shy of humans compared to the much tamer domesticated subspecies. Male junglefowl are significantly larger than females and have brightly colored decorative feathers. The male's tail is composed of long, arching feathers that initially look black, but shimmer with blue, purple, and green in direct light. He also has long, golden hackle feathers on his neck and on his back. The female's plumage is typical of this family of birds in being cryptic and adapted for camouflage as she alone looks after the eggs and chicks. She also has a very small comb and wattles (fleshy ornaments on the head that signal good health to rivals and potential mates) compared to the males."
nanday parakeet,aratinga nenday,Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Aratinga_Aratinga nenday,"The Nanday parakeet is a medium-small, mostly green parrot native to South America. Its most distinguishing characteristic, for which it is named, is its black facial mask and beak. It also shows black, trailing flight feathers on its wings and has a long tail edged at the end in blue. The upper chest is bluish-green and the lower chest is a paler green. Feathers covering the thighs are red in color."
gila woodpecker,melanerpes uropygialis,Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_Melanerpes uropygialis,"The Gila woodpecker is a medium-sized woodpecker of the desert regions of the United States and Mexico. The back and wings of this bird are spotted and barred with a black and white zebra-like pattern. The neck, throat, belly, and head are greyish-tan in color. The male has a small red cap on the top of the head. Females and juveniles are similar, but both lack the red cap of the adult male. White wing patches are prominent in flight. The dark tail has white bars on the central tail feathers."
piping plover,charadrius melodus,Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_Charadrius melodus,"The Piping plover is a rare sand-colored shorebird that nests and feeds along coastal sand and gravel beaches in North America. The adult has yellow-orange-red legs, a black band across the forehead from eye to eye, and a black stripe running along the breast line. This chest band is usually thicker in males during the breeding season, and it is the only reliable way to tell the sexes apart. This small bird is difficult to see when it is standing still, as it blends well with open, sandy beach habitats. It typically runs in short spurts and stops."
secretarybird,sagittarius serpentarius,Animalia_Chordata_Aves_Accipitriformes_Sagittariidae_Sagittarius_Sagittarius serpentarius,"The secretarybird is a large, mostly terrestrial bird of prey endemic to Africa. It has an unmistakable appearance with an eagle-like body on crane-like legs that give the bird a height of as much as 1.3 m (4 ft 3 in). Adults have a featherless red-orange face and predominantly grey plumage, with a flattened dark crest and black flight feathers and thighs. The sexes look similar to one another although the male tends to have longer tail feathers, more head plumes, a shorter head, and more blue-grey plumage."
red-tailed cockatoo,calyptorhynchus banksii,Animalia_Chordata_Aves_Psittaciformes_Cacatuidae_Calyptorhynchus_Calyptorhynchus banksii,"The Red-tailed black-cockatoo has a crest which forms a helmet when the bird raises it and pushes it forward. Adult males have a characteristic pair of bright red panels on the tail that gives the species its name. The female has duller plumage with yellow spots on her head, wings and neck. Her underbody has bars of pale orange-yellow with orange-yellow panels on the tail, barred black."
north american river otter,lontra canadensis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mustelidae_Lutrinae_Lontra_Lontra canadensis,"North American river otters are the only river otter that is found north of Mexico. This animal’s lovely waterproof pelt, which allows it to regulate its temperature, in the 1700s-1800s, a regular part of French fur trade, has meant this animal has been hunted for hundreds of years. Its fur ranges in color from white and gray to brown and black."
wood turtle,glyptemys insculpta,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Glyptemys_Glyptemys insculpta,"The Wood turtle is a medium-sized, semi-aquatic turtle native to North America. They have a rough carapace that is a tan, grayish-brown or brown color, with a central ridge (called a keel) made up of a pyramidal pattern of ridges and grooves. Their plastron (ventral shell) is yellowish in color and has dark patches. Although sometimes speckled with yellowish spots, the upper surface of their head is often a dark gray to solid black. The ventral surfaces of the neck, chin, and legs are orange to red with faint yellow stripes along the lower jaw of some individuals."
common chaffinch,fringilla coelebs,Animalia_Chordata_Aves_Passeriformes_Fringillidae_Fringilla coelebs,"The Common chaffinch is a widespread small songbird found in much of Europe, Asia, and northwestern Africa. The male is brightly colored with a blue-grey cap and rust-red underparts. The female is much duller in coloring, but both sexes have two contrasting white wing bars and white sides to the tail. The juvenile resembles the female."
diamondback terrapin,malaclemys terrapin,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Deirochelyinae_Malaclemys_Malaclemys terrapin,"The Diamondback terrapin is a species of turtle native to the eastern and southern United States and in Bermuda. The common name of these turtles refers to the diamond pattern on top of their shell (carapace), but the overall pattern and coloration vary greatly. The shell is usually wider at the back than in the front, and from above it appears wedge-shaped. The shell coloring can vary from brown to grey, and their body color can be grey, brown, yellow, or white. All have a unique pattern of wiggly, black markings or spots on their body and head. Diamondback terrapins have large webbed feet are very strong swimmers."
abert's squirrel,sciurus aberti,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Sciurus_Otosciurus_Sciurus aberti,"These unusual animals usually inhabit areas, dominated by Ponderosa pine trees that provide them with required nutrients. Abert's squirrels are identified by their long tufted ears, due to which the animals are sometimes called 'tassel-eared squirrels'. These mammals exhibit the ear tufts during most of the year. Mature individuals lose these tufts between July and September. Abert's squirrels have no fear of heights. When foraging, these animals are frequently observed moving between branches high in trees."
long-tailed macaque,macaca fascicularis,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Macaca_Macaca fascicularis,"The unique Long-tailed macaque exhibits an extremely long tail, which is longer than its height from the head to rump. This primate has a pinkish-brown face and white spaces on its eyelids, near the nose. Another conspicuous characteristic of this species is the crest on the head top, formed by the hairs on the head, sweeping back over the forehead. Male Long-tailed macaques are distinguished by mustaches as well as cheek whiskers around their faces. Females, on the other hand, have beards and cheek whiskers."
belted kingfisher,megaceryle alcyon,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Coraciiformes_Alcedini_Alcedinidae_Cerylinae_Megaceryle_Megaceryle alcyon,"The Belted kingfisher is often apparent from its wild rattling call while it flies over lakes or rivers. It can be seen perched high on a snag, or hovering while it beats its wings rapidly, before plunging headfirst into water to grasp a fish. It is found throughout almost all of North America in one season or another, and is the only member of the kingfisher family to be found in most areas to the north of Mexico."
red-shouldered hawk,buteo lineatus,Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Buteo_Buteo lineatus,"Red-shouldered hawks are medium-sized birds of prey found in North America. Adults have brownish heads, reddish chests, and pale bellies with reddish bars. Their tails are marked with narrow white bars. Red ""shoulders"" are visible when the birds are perched. These hawks' upperparts are dark with pale spots and they have long yellow legs. Western birds may appear more red, while Florida birds are generally paler. The wings of adults are more heavily barred on the upper side. Juvenile Red-shouldered hawks are most likely to be confused with juvenile Broad-winged hawks but can be distinguished by their long tails, crescent-like wing markings, and a more flapping flight style."
great cormorant,phalacrocorax carbo,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Suliformes_Phalacrocoracidae_Phalacrocorax_Phalacrocorax carbo,"The Great cormorant is widespread throughout the world, a beautiful bird with an almost primitive appearance, its long neck giving it an almost reptilian look. It is often seen in a pose holding its wings out to dry. This bird is a supreme fisher, and this ability may be used in the Far East to man’s advantage, or considered as competition in several other countries where these cormorants are persecuted."
grey wagtail,motacilla cinerea,Animalia_Chordata_Aves_Passeriformes_Motacillidae_Motacilla_Motacilla cinerea,"Grey wagtails are slender ground-feeding insectivorous birds of open country. They are always associated with running water when breeding, although they may use man-made structures near streams for the nest. Outside the breeding season, these birds may also be seen around lakes, coasts, and other watery habitats. Like other wagtails, they frequently wag their tail and fly low with undulations and they have a sharp call that is often given in flight."
african spoonbill,platalea alba,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Threskiornithidae_Platalea_Platalea alba,"The African spoonbill is a long-legged wading bird that is almost unmistakable through most of its range. During the breeding season, the bird is all white except for its red legs and face and long grey spatulate bill. Immature birds lack the red face and have a yellow bill. Unlike herons, spoonbills fly with their necks outstretched."
yellow-breasted chat,icteria virens,Animalia_Chordata_Aves_Passeriformes_Icteridae_Icteria_Icteria virens,"Yellow-breasted chats are large songbird, and are the New World warbler family's most atypical member. In the spring the male delivers a fluid cascade of whistles, chuckles, cackles and gurgles. For the remainder of the year the birds are rarely seen or heard, both males and females skulking silently within the shadows of thickets, gleaning berries and insects and berries. This species is North America's largest warbler, and perhaps the strangest, being like a cross between a mockingbird and a warbler."
american beaver,castor canadensis,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Castoridae_Castor_Castor canadensis,"American beaver is aquatic animal. Its coat is repellent with shiny, rich, blackish-brown to russet color. The under layer of hair is tighter and more protective, than outer layer. Ears usually have umber color, being round and short. Skull and teeth of American beaver are quite large for its size. When a beaver walks, front part of its body is closer to the ground than rear, due to its front legs being shorter than hind legs."
double-crested cormorant,phalacrocorax auritus,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Suliformes_Phalacrocoracidae_Phalacrocorax_Phalacrocorax auritus,"The Double-crested cormorant is a gangly, solid prehistoric-looking, heavy boned fishing bird of matte-black with yellow-orange skin on its face. Looking like a mix of a loon and a goose, it is a relative of the frigate bird and the booby and is commonly seen near fresh and salt water throughout North America, perhaps most visible when standing on docks, rocky islands, or channel markers, drying its outspread wings. These birds are skilled in diving for small fish."
american hog-nosed skunk,conepatus leuconotus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mephitidae_Conepatus_Conepatus leuconotus,"The American hog-nosed skunk is native to Central and North America. It is one of the largest skunks in the world. The distinguishing feature of the American hog-nosed skunk is it has a single, broad white stripe from the top of the head to the base of the tail, and the tail itself is completely white. It is the only skunk that lacks a white dot or medial bar between the eyes and has primarily black body fur. The American hog-nosed skunk has stocky legs and plantigrade feet (the entire sole of the foot touches the ground). Its hind feet are broad and large with soles that are naked for about one-half their length. Its upper body is powerfully built, and the fore claws are very long. Males of this species are slightly larger than females."
wild boar,sus scrofa,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Suidae_Sus_Sus scrofa,"The Wild boar has a rather extensive natural range, covering forests of Europe, north-western Africa and Asia. This wild pig is the ancestor of the contemporary domestic pig. The Wild boar is capable of adapting and living in a wide range of environments. This omnivorous mammal consumes nearly any type of food that it's able to accommodate in its mouth. The Wild boar is an excellent swimmers and a very fast runner."
eastern phoebe,sayornis phoebe,Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Sayornis_Sayornis phoebe,"The Eastern phoebe is a small perching bird native to North America. It has a big head, especially if it puffs up the small crest. Its plumage is gray-brown above. It has a white throat, dirty gray breast, and buffish underparts which become whiter during the breeding season. Two indistinct buff bars are present on each wing. The lack of an eye ring and wingbars and the all dark bill distinguish the Eastern phoebe from other North American tyrant flycatchers."
green heron,butorides virescens,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Butorides_Butorides virescens,"The Green heron is a small solitary heron that lives along shaded riverbanks or quiet streams in areas of dense vegetation. It is often somewhat secretive but is sometimes to be seen crying ""kyow"" while flying up a creek. When in the open, it will often flick its short tail nervously, while raising and lowering its crest. The ""green"" of its back is an iridescence, and often appears as a dull blue or just dark."
meadow vole,microtus pennsylvanicus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Cricetidae_Microtus_Mynomes_Microtus pennsylvanicus,"The Meadow vole is a rodent with a rounded, stocky body and a blunt nose. The size and color of this large vole depend on location. Those in southern parts of their range are usually larger, exhibiting darker coloration. Overall, the fur of this species is dense and soft with some coarser hairs. As compared to other voles, the whiskers of Meadow vole are somewhat inconspicuous, and their fur is considerably finer. Young of this species is born hairless, beginning to grow fur at 3 days old. Young are identified by darker coloration as well as black feet and tail."
red-crested cardinal,paroaria coronata,Animalia_Chordata_Aves_Passeriformes_Thraupidae_Paroaria_Paroaria coronata,"The Red-crested cardinal has a distinctive red head and crest, with the rest of its body being black and gray. This species, native to Brazil, is a songbird from the tanagers family. Despite the similar name, it is not a close relative of the true cardinal family of Cardinalidae. It is also known as the Brazilian cardinal. It measures 7.5 inches long and in captivity lives for up to 15 years."
northern goshawk,accipiter gentilis,Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Accipiter_Accipiter gentilis,"The Northern goshawk is a medium-large diurnal bird of prey that is often considered a ""true hawk"". It has relatively short, broad wings and a long tail, common to raptors that require maneuverability within forest habitats. It is blue-grey above or brownish-grey with dark barring or streaking over a grey or white base color below, but Asian subspecies in particular range from nearly white overall to nearly black above. The juvenile Northern goshawk is usually a solid to mildly streaky brown above, with many variations in underside color from nearly pure white to almost entirely overlaid with broad dark cinnamon-brown striping. Both juveniles and adults have a barred tail, with 3 to 5 dark brown or black bars. Adults always have a white eye stripe."
rough green snake,opheodrys aestivus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Opheodrys_Opheodrys aestivus,"The Rough green snake is a nonvenomous North American colubrid. It is bright green in color above and has a yellowish belly, affording it excellent camouflage in green vegetation; this also makes Rough green snakes difficult to see in the wild even though they are relatively common in their habitat. They have keeled dorsal scales, which are arranged in 17 rows at mid-body and a very thin tail."
virginia opossum,didelphis virginiana,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Didelphimorphia_Didelphidae_Didelphis_Didelphis virginiana,"The Virginia opossum is the only marsupial found in North America north of Mexico. In the United States, it is typically referred to simply as a possum. It is familiar to many North Americans as it is often seen near towns, rummaging through garbage cans, or as roadkill. They are about the same size as a large house cat, having a triangular head with a long pointed nose. The fur is grayish and is everywhere except its ears, tail and feet. Amongst their fur are long white-tipped guard hairs. The fur color may differ according to the population’s range. Their ears are large and delicate and the tail is prehensile, adapted for gripping and wrapping around tree limbs."
striped skunk,mephitis mephitis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mephitidae_Mephitis_Mephitis mephitis,"Striped skunks are the biggest of the skunk species. They are easily identifiable by the white stripe running from head to tail and each individual has a unique pattern of stripes. Skunks are intelligent and usually good natured. As members of the weasel family Mustelidae, they share the characteristics of a musky odor and well-developed scent glands. The skunk excels at this potential and can discharge a foul-smelling fluid as a means of defense. Its scientific name, mephitis, in Latin means “bad odor”. Most skunks do not survive their first year because of infectious disease and severe weather conditions. If they do survive, in the wild they can live for up to 7 years, and in captivity up to 10 years. They can run as fast as 16km/h (10mph)."
yellow warbler,setophaga petechia,Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_Setophaga petechia,"Yellow warblers are small widespread songbirds found in the Americas. The summer males of this species are generally the yellowest warblers wherever they occur. They are brilliant yellow below and greenish-golden above. Winter females and immature birds all have similarly greenish-yellow uppersides and are a duller yellow below. Young males soon acquire breast and, where appropriate, head coloration. Females are somewhat duller, most notably on the head. In all, the remiges and rectrices are blackish olive with yellow edges, sometimes appearing as an indistinct wing-band on the former. The eyes and the short thin beak are dark, while the feet are lighter or darker olive-buff."
shingleback lizard,tiliqua rugosa,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Scincidae_Tiliqua_Tiliqua rugosa,"The Shingleback lizard is a short-tailed, slow-moving species of blue-tongued skink native to Australia. These lizards have a heavily armored body and can be found in various colors, ranging from dark brown to cream. They have a triangular head and a bright blue tongue. Their short, wide, stumpy tail resembles the head of these lizards and may confuse predators. This has led to the common name of ""two-headed skink"". The tail also contains fat reserves, which are drawn upon during brumation in winter."
greater kudu,tragelaphus strepsiceros,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Bovinae_Tragelaphus_Tragelaphus strepsiceros,"Greater kudus are large woodland antelopes found throughout eastern and southern Africa. They have a narrow body with long legs, and their coats can range from brown/bluish-grey to reddish-brown. They possess between 4 and 12 vertical white stripes along their torso. The head tends to be darker in color than the rest of the body and exhibits a small white v-shaped mark that runs between the eyes. Bulls tend to be much larger than the cows, and vocalize much more; they also have beards running along their throats, and large horns with two and a half twists."
mexican gray squirrel,sciurus aureogaster,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Sciurus_Sciurus aureogaster,The Mexican gray squirrel is a species of a tree squirrel. The fur of these squirrels is gray in color combined with a bright rufous belly. Their coloration may vary depending on location. It can be gray on the upper parts and white to orange or to deep chestnut on the under parts.
common tern,sterna hirundo,Animalia_Chordata_Aves_Charadriiformes_Laridae_Sterna_Sterna hirundo,"Known for its attractive plumage and graceful flight, Common terns have a slender body and a smoothly rounded head, and long pointed wings. Its breeding plumage is light silvery-gray upperparts and clear black outer primaries on its wingtips. Outside the breeding season, the bird keeps some of its distinguishable black cap, but its forehead and face turn white. Its legs and bill turn black, losing their orange-red coloration. Male and female are similar in appearance throughout the year."
black-necked swan,cygnus melancoryphus,Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_Cygnus melancoryphus,"An unmistakable bird with bold patterns, Black-necked swans are characteristic and majestic inhabitants of southern South Americas wetlands. They are easily distinguished by their immaculate white body feathers that contrast sharply with their velvety black head and neck. The bill is blue-gray in color and has a noticeable, double-lobed scarlet-colored knob, called a caruncle, at its base. The eyes are surrounded by a thin white line which goes along the sides of the head to the rear. Males and females are similar in appearance, though females are generally slightly smaller. The juvenile does not have a caruncle, and has a head and neck that is more brownish-black, with varying amounts of brownish-tipped and grayish-flecked feathers."
ringtail,bassariscus astutus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Procyonidae_Bassaricyon_Bassariscus astutus,"The ringtail is a small carnivore belonging to the raccoon family, about the same size as a domestic cat and looking like a small fox with a tail like a raccoon. It seems perfectly designed as a climbing animal for exploiting the desert’s ledges, cracks and vertical cliffs. Their long tail provides them with balance for negotiating limbs and narrow ledges, and they can even reverse direction by doing a cartwheel. They are able to rotate their back feet 180 degrees, providing them with purchase for the rapid descent of cliffs, trees or cacti. In addition, ringtails can go up narrow passages by “stemming,” which is pressing all four feet on one wall with their back against the opposite wall or pressing both their right feet against one wall and both their left feet against the other, and managing wider openings or cracks by ricocheting between the two walls."
spotted towhee,pipilo maculatus,Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_Pipilo maculatus,"The Spotted towhee is a large American sparrow. It has a long, dark fan shaped tail with white corners on the end, bright red eyes, and dull pink legs. Adult males have a generally darker head, upper body, and tail with a white belly, rufous sides, white spots on their back, and white wing bars. Females look similar but are dark brown and grey instead of black."
mexican free-tailed bat,tadarida brasiliensis,Animalia_Chordata_Vertebrata_Mammalia_Chiroptera_Molossidae_Tadarida_Tadarida brasiliensis,"The Mexican free-tailed bat is a medium-sized bat native to the Americas and is regarded as one of the most abundant mammals in North America. It has been claimed to have the fastest horizontal speed (as opposed to stoop diving speed) of any animal, reaching top ground speeds over 100 mph (161 km/h)."
indian palm squirrel,funambulus palmarum,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Funambulus_Funambulus palmarum,"The Indian palm squirrel is a species of rodent native to India and Sri Lanka. It is about the size of a large chipmunk, with a bushy tail slightly shorter than its body. The back is a grizzled, grey-brown color with three conspicuous white stripes that run from head to tail. The two outer stripes run from the forelegs to the hind legs only. It has a creamy-white belly and a tail covered with interspersed, long, black, and white hair. The ears are small and triangular. Juvenile squirrels have significantly lighter coloration, which gets progressively darker as they age."
great crested grebe,podiceps cristatus,Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podiceps_Podiceps cristatus,"The Great crested grebe is a large graceful water bird noted for its elaborate mating display. The adults are unmistakable in summer with head and neck decorations. In winter, this is whiter than most grebes, with white above the eye, and a pink bill. The young are distinctive because their heads are striped black and white. They lose these markings when they become adults."
least bittern,ixobrychus exilis,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Ixobrychus_Ixobrychus exilis,"The Least bittern is amongst the smallest of the herons, adapted for living in dense marshes. Instead of wading in the shallows as most herons do, the Least bittern climbs about among reeds and cattails, clinging with its long toes to the stems. Its narrow body enables it to slip with ease through dense, tangled vegetation. Due to its choice of habitat, it is often unnoticed, except when it flies. However, its cooing and clucking sounds are often heard at dawn and dusk and also sometimes at night."
yellow-crowned night heron,nyctanassa violacea,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Nyctanassa_Nyctanassa violacea,"The Yellow-crowned night heron is a gorgeous graceful bird. More solitary than the Black-crowned night heron and often more secretive, this species is quite common in some parts of the southeast, especially in coastal regions. It often feeds during the day as well as at night. Its stout bill is probably an adaptation for eating hard-shelled crustaceans. In some areas it is called ""crab-eater"". These birds were introduced into Bermuda in an attempt to control land crabs, which was successful."
